id,nombre,accion,motivo,lat_original,lng_original,lat_final,lng_final,municipio_texto,precision
wg6bvhn2gyzm,Altos de Santa Elena torre 29,georreferenciada_aproximada,sin coordenada · centroide de barrio,,,3.439,-76.523,,malla
m62qkaskeb4q,El dovio corregimiento bitaco,corregida_fuera_de_pais,coordenada fuera de Colombia,41.2123017,1.3693693,4.51,-76.238,el dovio,malla
2rvum466,Punto médico BGD (45 con 8B),descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
uwbt3xnjw9dz,Calle 5 con Carrera 44 - Cali diagonal oxxo,corregida_por_texto,coordenada a 670 km del municipio declarado (cali),7.887804808693662,'-72.48572336949796,3.4156667499999998,-76.5387152314527,cali,malla
nsnr8fmfp4z5,Vereda Lituania el Dovio valle,corregida_por_texto,coordenada a 162 km del municipio declarado (el dovio),5.3380668,'-75.0331812,4.51,-76.238,el dovio,malla
wychrf8g,Traslado urgente — Autopista Suroriental → Base Aérea,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
xsu5px23izdf,Corregímiento de vallejuelo zarzal valle,corregida_fuera_de_pais,coordenada fuera de Colombia,39.88647779747755,4.255806993808158,4.3939,-76.0714,zarzal,malla
3rz25y24wtm6,"calle 16, #17-70, Pereira",corregida_por_texto,coordenada a 153 km del municipio declarado (pereira),3.5492192,'-76.2932559,4.796789919766716,-75.7134992,pereira,malla
5bx8cmqse7vc,Carrera 67 con calle 3c el refugio,corregida_por_texto,coordenada a 12 km del barrio declarado (el refugio),3.2776663,'-76.5196422,3.382,-76.539,,malla
riyhubjp,Clínica Alba — evacuación,descartado_sin_ubicacion,sin coordenada y sin lugar reconocible en el texto,,,,,,gps
tijdw6eq,Acopio para Buenaventura — Conj. Caoba K-109 (Bochalema),corregida_por_texto,coordenada a 85 km del municipio declarado (buenaventura),3.3579294,'-76.515009,3.88439695,-77.06762452788945,buenaventura,malla
xcw64he2srg8,Oxxo calle 44,ubicacion_dudosa,coordenada fuera de la zona de impacto sin respaldo textual,4.6270932,'-74.1320049,4.6270932,-74.1320049,,malla
nzfrdwfs9gnw,Pereira,coordenada_descartada_por_identidad,mismo nombre/dirección que «Pereira» pero a 9.6 km,4.7854606,'-75.788322,4.7854606,-75.788322,pereira,gps
u5ur2dec566z,Pereira,coordenada_descartada_por_identidad,mismo nombre/dirección que «Pereira» pero a 9.6 km,4.7854606,'-75.788322,4.7854606,-75.788322,pereira,gps
pzjbn3bu52i6,Pereira,coordenada_descartada_por_identidad,mismo nombre/dirección que «Pereira» pero a 9.6 km,4.7854606,'-75.788322,4.7854606,-75.788322,pereira,gps
va4awswze53v,Pereira,coordenada_descartada_por_identidad,mismo nombre/dirección que «Pereira» pero a 9.6 km,4.7854606,'-75.788322,4.7854606,-75.788322,pereira,gps
wqcrqcvss2pc,Pereira,coordenada_descartada_por_identidad,mismo nombre/dirección que «Pereira» pero a 9.6 km,4.7854606,'-75.788322,4.7854606,-75.788322,pereira,gps
yhu4sia6t7um,Pereira,coordenada_descartada_por_identidad,mismo nombre/dirección que «Pereira» pero a 9.6 km,4.7854606,'-75.788322,4.785461,-75.788322,pereira,malla
j7439qpy22q6,Bogotá,coordenada_descartada_por_identidad,mismo nombre/dirección que «Bogota» pero a 7.9 km,4.695282232530883,'-74.14100646972656,4.695282,-74.141006,bogota,malla
894x2ynsw2t6,Cra 77 1c 140 urbanización el Danubio,coordenada_descartada_por_identidad,"mismo nombre/dirección que «Cra. 77 #1c-140, Las Farallones, Cali, V» pero a 3.0 km",3.3891246767776124,'-76.55264777433118,3.3891246767776124,-76.55264777433118,cali,gps
c43pr2tu39wk,Cra 56 Ana del pilar,coordenada_descartada_por_identidad,mismo nombre/dirección que «Cra 56 entre calle 3 y 5» pero a 190.6 km,3.392918,'-76.5433215,3.392918,-76.5433215,,gps
mdxc9ctb2rnj,Calle 5 con carrera 42 cali,coordenada_descartada_por_identidad,mismo nombre/dirección que «Carrera 5 calle 34 Unidad Bueno Madrid C» pero a 6.0 km,3.414484214795964,'-76.52036088442712,3.414484214795964,-76.52036088442712,cali,gps
uwbt3xnjw9dz,Calle 5 con Carrera 44 - Cali diagonal oxxo,coordenada_descartada_por_identidad,mismo nombre/dirección que «Carrera 5 calle 34 Unidad Bueno Madrid C» pero a 6.4 km,7.887804808693662,'-72.48572336949796,3.4156667499999998,-76.5387152314527,cali,malla
gkw6qer932fn,AAAAAAAAAA,descartado_nombre_invalido,el nombre del reporte no identifica ningún lugar,4.2645071,'-75.934396,4.2645071,-75.934396,,gps
3xsjzn3ycjvr,eeeeee,descartado_nombre_invalido,el nombre del reporte no identifica ningún lugar,,,,,,gps
t2y474i7998v,111111,descartado_nombre_invalido,el nombre del reporte no identifica ningún lugar,4.080474,'-76.202924,4.080474,-76.202924,,gps
iegz622fgqtq,Coliseo / metropolitano del norte carrera 1 a 12 # 69/20,coordenada_descartada_por_identidad,mismo nombre/dirección que «Torre D - falla estructural.» pero a 14.2 km,3.4802095216056617,'-76.49057820439339,3.4802095216056617,-76.49057820439339,,gps
262rcqdd34kr,Calle 9 Numero 5-10,coordenada_descartada_por_identidad,mismo nombre/dirección que «Calle 9 carrera 45» pero a 5.1 km,3.3715419342031883,'-76.54930114746095,3.3715419342031883,-76.54930114746095,,gps
ewfi5g9xfz43,Carrera 72 calle 10,coordenada_descartada_por_identidad,mismo nombre/dirección que «Calle 72 p 26 h 3 06 barrio los lagos» pero a 7.1 km,3.3921516,'-76.5393489,3.3921516,-76.5393489,,gps
mykqyizv99y4,Hotel el molino autopista suroriental con carrera 39,coordenada_descartada_por_identidad,mismo nombre/dirección que «Carrera 39 a # 5D-35 clínica cime» pero a 11.6 km,3.394877504707307,'-76.5609256299391,3.394877504707307,-76.5609256299391,,gps
cetr8dqndkhd,Cra. 67 #3C-15 Conjunto Residencial Ariguani,coordenada_descartada_por_identidad,mismo nombre/dirección que «Cra. 67 #3C-15» pero a 10.7 km,3.4817924,'-76.5049141,3.4817924,-76.5049141,,gps
x4a9emmranmi,Calle 5 carrera 44,coordenada_descartada_por_identidad,mismo nombre/dirección que «Calle 5 con 44» pero a 59.4 km,3.8902598453459545,'-76.2927205696216,3.8902598453459545,-76.2927205696216,,gps
zw8whgt9vh2e,"Calle 5 vía timba, san jose",coordenada_descartada_por_identidad,mismo nombre/dirección que «Calle 5 con 44» pero a 43.9 km,3.0289120925694717,'-76.49978253527,3.0289120925694717,-76.49978253527,,gps
swidtt9w6s25,Calle 34a No.29A-35 Barrio León Trece,coordenada_descartada_por_identidad,mismo nombre/dirección que «Carga avioneta - Barrio León 13» pero a 23.4 km,3.346608115716625,'-76.51436805725099,3.346608115716625,-76.51436805725099,,gps
h4vzrt5nup5t,3153591165,descartado_nombre_invalido,el nombre del reporte no identifica ningún lugar,,,,,,gps
es33qish,Edificio colapsado — Carrera 61 #3-167,coordenada_descartada_por_identidad,mismo nombre/dirección que «Carrera 61 #3-167» pero a 29.3 km,3.405429695521531,'-76.54815195448465,3.405429695521531,-76.54815195448465,,gps
7qbmk5nihmea,Calle 6 oeste #51 65,coordenada_descartada_por_identidad,mismo nombre/dirección que «Calle 6 oeste #6-74 villa del mar» pero a 4.7 km,3.4127883,'-76.5584663,3.4127883,-76.5584663,,gps
cdag6akx6qjk,Calle 15 con cra 23,coordenada_descartada_por_identidad,mismo nombre/dirección que «Calle 15 con Carrera 15» pero a 143.8 km,3.3269005247809154,'-76.57393455505373,3.3269005247809154,-76.57393455505373,,gps
6tnjmy7g4dai,COMIDA PREPARADA PARA ADULTOS MAYORES,coordenada_descartada_por_identidad,mismo nombre/dirección que «Calle 5 #38D -104» pero a 36.9 km,3.4250649955013786,'-76.54710173685278,3.4250649955013786,-76.54710173685278,,gps
xcw64he2srg8,Oxxo calle 44,coordenada_descartada_por_identidad,mismo nombre/dirección que «Carrera 44 con 9» pero a 291.5 km,4.6270932,'-74.1320049,4.6270932,-74.1320049,,malla
btgt6svitf8s,_______________________,descartado_nombre_invalido,el nombre del reporte no identifica ningún lugar,,,,,,gps
jabmnaykv4zw,______________________________,descartado_nombre_invalido,el nombre del reporte no identifica ningún lugar,,,,,,gps
q2xnf63874bu,_______________,descartado_nombre_invalido,el nombre del reporte no identifica ningún lugar,,,,,,gps
3nxhhyrgak32,____________________,descartado_nombre_invalido,el nombre del reporte no identifica ningún lugar,,,,,,gps
8rrr2z75,dp,descartado_nombre_invalido,el nombre del reporte no identifica ningún lugar,4.0911333,'-76.2002689,4.0911333,-76.2002689,,gps
t3x546qhs28y,Torres de limonar,fusionado_por_nombre,mismo nombre «torres de limonar» a 3.4 km: se conserva la ubicación con más reportes y mejor precisión,3.421459,-76.534375,3.392608,-76.543398,,gps
mecdg4cf,Tequendama — Edificio Cantabria,fusionado_mismo_edificio,«Tequendama — Edificio Cantabria» a 106 m de «Edificio Cantabria» con la misma parte distintiva del nombre y nomenclatura compatible,3.415118,-76.541822,3.415666,-76.542603,,gps
khwic2h43fuw,Frente a Palmetto,fusionado_mismo_edificio,«Frente a Palmetto» a 231 m de «Gato atrapado al frente de palmetto» con la misma parte distintiva del nombre y nomenclatura compatible,3.413728,-76.541115,3.411658,-76.541335,,gps
9988mayf4dm2,"Cra. 53 #1A-50, Cuarto de Legua, Cali, Valle del Cauca",fusionado_mismo_edificio,"«Cra. 53 #1A-50, Cuarto de Legua, Cali,» a 210 m de «Cuarto de legua» con la misma parte distintiva del nombre y nomenclatura compatible",3.408652,-76.549977,3.408105,-76.548166,,gps
z8tfi52tmu7s,"Carrera 94 Calle 2 Oeste, Sede Comunal Altos de Jordan",fusionado_mismo_edificio,"«Carrera 94 Calle 2 Oeste, Sede Comunal» a 24 m de «Jordán / Altos de Jordán» con la misma parte distintiva del nombre y nomenclatura compatible",3.377054,-76.552342,3.377103,-76.552553,,gps
k436mddij4sq,Hotel metrópolis,fusionado_mismo_edificio,«Hotel metrópolis» a 60 m de «Separador diagonal a Hotel Metrópolis » con la misma parte distintiva del nombre y nomenclatura compatible,3.416285,-76.539772,3.416802,-76.539937,,gps
